                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.96917,                0.43847,                 1.3819,                0.97761,                0.95779,                0.98056,                0.69491,                 1.1299,                0.39384,                  1.576,               0.001585,               0.001585,               0.001585
                     88,                0.96694,                0.43865,                 1.3784,                0.97715,                0.95732,                0.98017,                 0.6952,                 1.1295,                0.39314,                 1.5757,               0.001486,               0.001486,               0.001486
                     89,                0.96452,                0.43275,                 1.3806,                0.97748,                0.95779,                0.98027,                0.69522,                 1.1293,                0.39237,                 1.5758,               0.001387,               0.001387,               0.001387
                     90,                0.95855,                0.42921,                 1.3741,                0.97585,                0.95826,                0.98045,                0.69519,                  1.129,                0.39173,                 1.5756,               0.001288,               0.001288,               0.001288
                     91,                0.92835,                0.35623,                 1.4008,                0.97586,                0.95826,                0.98079,                0.69529,                 1.1286,                0.39131,                 1.5756,               0.001189,               0.001189,               0.001189
                     92,                0.92052,                0.35266,                 1.3871,                0.97752,                0.95779,                0.98082,                 0.6955,                 1.1282,                0.39066,                 1.5753,                0.00109,                0.00109,                0.00109
                     93,                0.91451,                0.34993,                 1.3773,                0.97757,                0.95779,                 0.9809,                0.69592,                 1.1279,                0.38991,                 1.5751,               0.000991,               0.000991,               0.000991
                     94,                0.91121,                0.34988,                 1.3801,                0.97841,                0.95872,                0.98104,                0.69613,                 1.1276,                0.38966,                  1.575,               0.000892,               0.000892,               0.000892
                     95,                0.90329,                0.34579,                 1.3765,                 0.9781,                0.95872,                0.98115,                0.69648,                 1.1274,                0.38937,                  1.575,               0.000793,               0.000793,               0.000793
                     96,                0.89775,                 0.3417,                 1.3691,                0.97803,                0.95872,                0.98131,                 0.6964,                 1.1271,                0.38891,                  1.575,               0.000694,               0.000694,               0.000694
                     97,                 0.8963,                0.34085,                 1.3646,                0.97725,                0.95919,                0.98167,                0.69707,                 1.1266,                0.38856,                 1.5749,               0.000595,               0.000595,               0.000595
                     98,                0.88852,                 0.3386,                 1.3594,                0.97663,                0.96039,                0.98208,                0.69734,                 1.1263,                0.38781,                 1.5751,               0.000496,               0.000496,               0.000496
                     99,                0.88765,                0.33591,                  1.359,                0.97663,                0.96032,                0.98215,                 0.6969,                  1.126,                0.38717,                 1.5751,               0.000397,               0.000397,               0.000397
                    100,                 0.8813,                0.33332,                 1.3513,                0.97672,                0.96013,                0.98224,                 0.6973,                 1.1255,                0.38653,                 1.5749,               0.000298,               0.000298,               0.000298
